__id,reportguid,officerguid,event_date_time,cr_or_event,event_class,event_class_description,district_of_occurrence,bureau,reason_counteract,reason_claim_injury,reason_protective_instrument,reason_firearm_discharge,reason_canine,reason_firearm_accidental,reason_officer_assaulted,reason_pointing,reason_physical_efforts,reason_animal_involved,reason_animalinvolvedhumane,reason_animalinvolvedvicious,animal_type,animaltypeother,animal_force_used,animal_force_used_other,activity_arrest,activity_defend,activity_demo,activity_eep,activity_warrant,activity_transport,activity_stop,activity_investigative,activity_swat_operation,activity_sert_operation,subj_race,subj_gender,subj_age,subj_age_unknown,subj_height,subj_weight,subj_alcohol,subj_drugs,subj_drug_type,subj_drug_type_other,subj_possible_mental_illness,subject_injury_bruise_soreness,subject_injury_broken_bones,subject_injury_laceration,subject_injury_bite,subject_injury_gunshot,subject_injury_taser_mark,suspect_injury_unrelated_to_police,subject_injury_none,subject_treated_decon,subject_treated_firstaid,subject_treated_police_firstaid,subject_treated_ems_firstaid,subject_treated_hospital,subject_treated_refused,subject_treated_none,subj_feet,subj_hands_fists,subj_strike,subj_handgun_pointed,subj_handgun_discharged,subj_knife,subj_oc_aerosol_pointed,subj_oc_aerosol_discharged,subj_shotgun_rifle_pointed,subj_shotgun_rifle_discharged,subj_vehicle,subj_pepperball_pointed,subj_pepperball_discharged,ofc_race,ofc_gender,ofc_age,ofc_district_unit_of_assignment,ofc_assaulted,ofc_ambushed,ofc_injury_bruise_soreness,ofc_injury_broken_bones,ofc_injury_laceration_abrasion,ofc_injury_bite,ofc_injury_gunshot,ofc_injury_taser_mark,ofc_injury_none,ofc_treated_decon,ofc_treated_firstaid,ofc_treated_police_firstaid,ofc_treated_ems_firstaid,ofc_treated_hospital,ofc_treated_refused,ofc_treated_none,ofc_asp,ofc_canine,ofc_cew_pointed,ofc_cew_discharged,ofc_flashlight,ofc_feet,ofc_hands_fists,ofc_strike,ofc_control_technique,ofc_non_compliant_escort,ofc_handgun_pointed,ofc_handgun_discharged,ofc_knife,ofc_oc_aerosol_pointed,ofc_oc_aerosol_discharged,ofc_shotgun_rifle_pointed,ofc_shotgun_rifle_discharged,ofc_vehicle,ofc_pepperball_pointed,ofc_pepperball_discharged,ofc_cew_cartridge,ofc_cew_stun,ofc_cew_point_of_impact,ofc_cew_point_of_impact_2,ofc_cew_of_cartridges,_row_index,_loaded_at
row-9rx5~jnvj-4iuh,FBD7558D-6E86-4F13-B7F8-34DEA546A44C,C75509E4-90E7-4159-96B4-A48761145744,2026/04/13 14:15:00.000000000,260015798,2942,MENTAL TRANSPORT,4D,SOB,f,f,f,f,f,f,f,t,f,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Male,43,False,509,181,f,t,Unknown,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,White,Male,42,CED,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24486,2026-04-25T07:00:22.425876
row-f9aw.pivd-6smm,F30B1361-694E-445E-9261-7A9657756461,A7AA2374-BAE8-48CD-9D17-48D8004EFCE4,2026/04/08 20:52:00.000000000,260015108,1714,SEX OFFENSE - PEEPING TOM,6D,PSB,f,t,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,52,False,509,190,f,f,None,None,f,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,42,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24487,2026-04-25T07:00:22.425876
row-fjkt.ibju.5vfq,0FF6CF3F-6592-424E-BF11-B5D812CEDD4D,4AACF41C-EC88-4D8A-968F-063B504FBF68,2026/04/15 21:45:00.000000000,260016026,0613,LARCENY SHOPLIFTING OVER $200,2D,PSB,f,t,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,28,False,506,155,f,f,None,None,f,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,33,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24488,2026-04-25T07:00:22.425876
row-hn65.s48b-dp3q,54DDD58B-6B96-4B9B-9583-D7984FF1BBEE,44241656-1C37-4494-905A-7A9746E2F0B1,2026/03/07 02:05:00.000000000,260010098,0811,ASSAULT & BATTERY - CITIZEN,6D,PSB,f,t,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,18,False,506,130,f,f,None,None,f,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,None,None,None,None,None,None,None,None,None,None,None,None,None,Black,Male,27,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24489,2026-04-25T07:00:22.425876
row-c7wb_un76_m9bc,F30B1361-694E-445E-9261-7A9657756461,203DEEF0-1DB1-4E71-868D-08EF7F07B09F,2026/04/08 20:52:00.000000000,260015108,1714,SEX OFFENSE - PEEPING TOM,6D,PSB,f,t,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,52,False,509,190,f,f,None,None,f,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,39,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24490,2026-04-25T07:00:22.425876
row-fh2i~352d.sfwz,7DA1BABE-09F4-460A-A0E1-C8CFFEE1D57C,C82E9D59-2E69-42B1-94FD-28F2CAA97BD2,2026/04/09 10:24:00.000000000,260015164,2938,POL INFORMATION,2D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,f,f,f,f,f,f,t,f,f,f,Hispanic,Male,21,False,506,170,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,None,None,None,None,None,None,None,None,None,None,None,None,None,Hispanic,Male,53,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24491,2026-04-25T07:00:22.425876
row-9c6n-x8dp-mawh,54DDD58B-6B96-4B9B-9583-D7984FF1BBEE,4303F8B7-8D56-427A-9162-08C7D3FBF7D1,2026/03/07 02:05:00.000000000,260010098,0811,ASSAULT & BATTERY - CITIZEN,6D,PSB,f,t,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,18,False,506,130,f,f,None,None,f,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,34,6D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24492,2026-04-25T07:00:22.425876
row-apd4_k2ve.cpdx,F30B1361-694E-445E-9261-7A9657756461,84716E56-1F12-412C-B154-55F494C52FE2,2026/04/08 20:52:00.000000000,260015108,1714,SEX OFFENSE - PEEPING TOM,6D,PSB,f,t,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,52,False,509,190,f,f,None,None,f,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,42,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24493,2026-04-25T07:00:22.425876
row-79fj_bmdc~jswz,F30B1361-694E-445E-9261-7A9657756461,E60D3A7C-DFAE-4A49-A0EA-2298A448984C,2026/04/08 20:52:00.000000000,260015108,1714,SEX OFFENSE - PEEPING TOM,6D,PSB,f,t,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,52,False,509,190,f,f,None,None,f,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,34,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24494,2026-04-25T07:00:22.425876
