__id,reportguid,officerguid,event_date_time,cr_or_event,event_class,event_class_description,district_of_occurrence,bureau,reason_counteract,reason_claim_injury,reason_protective_instrument,reason_firearm_discharge,reason_canine,reason_firearm_accidental,reason_officer_assaulted,reason_pointing,reason_physical_efforts,reason_animal_involved,reason_animalinvolvedhumane,reason_animalinvolvedvicious,animal_type,animaltypeother,animal_force_used,animal_force_used_other,activity_arrest,activity_defend,activity_demo,activity_eep,activity_warrant,activity_transport,activity_stop,activity_investigative,activity_swat_operation,activity_sert_operation,subj_race,subj_gender,subj_age,subj_age_unknown,subj_height,subj_weight,subj_alcohol,subj_drugs,subj_drug_type,subj_drug_type_other,subj_possible_mental_illness,subject_injury_bruise_soreness,subject_injury_broken_bones,subject_injury_laceration,subject_injury_bite,subject_injury_gunshot,subject_injury_taser_mark,suspect_injury_unrelated_to_police,subject_injury_none,subject_treated_decon,subject_treated_firstaid,subject_treated_police_firstaid,subject_treated_ems_firstaid,subject_treated_hospital,subject_treated_refused,subject_treated_none,subj_feet,subj_hands_fists,subj_strike,subj_handgun_pointed,subj_handgun_discharged,subj_knife,subj_oc_aerosol_pointed,subj_oc_aerosol_discharged,subj_shotgun_rifle_pointed,subj_shotgun_rifle_discharged,subj_vehicle,subj_pepperball_pointed,subj_pepperball_discharged,ofc_race,ofc_gender,ofc_age,ofc_district_unit_of_assignment,ofc_assaulted,ofc_ambushed,ofc_injury_bruise_soreness,ofc_injury_broken_bones,ofc_injury_laceration_abrasion,ofc_injury_bite,ofc_injury_gunshot,ofc_injury_taser_mark,ofc_injury_none,ofc_treated_decon,ofc_treated_firstaid,ofc_treated_police_firstaid,ofc_treated_ems_firstaid,ofc_treated_hospital,ofc_treated_refused,ofc_treated_none,ofc_asp,ofc_canine,ofc_cew_pointed,ofc_cew_discharged,ofc_flashlight,ofc_feet,ofc_hands_fists,ofc_strike,ofc_control_technique,ofc_non_compliant_escort,ofc_handgun_pointed,ofc_handgun_discharged,ofc_knife,ofc_oc_aerosol_pointed,ofc_oc_aerosol_discharged,ofc_shotgun_rifle_pointed,ofc_shotgun_rifle_discharged,ofc_vehicle,ofc_pepperball_pointed,ofc_pepperball_discharged,ofc_cew_cartridge,ofc_cew_stun,ofc_cew_point_of_impact,ofc_cew_point_of_impact_2,ofc_cew_of_cartridges,_row_index,_loaded_at
row-7ngk_ii4z_tsxi,488AD614-9A5B-4AB9-AE72-D3E9FDE02A2C,48BF2398-0A0A-4CE0-A201-5829172C224B,2026/03/30 09:32:00.000000000,260013589,0823,SIMPLE ASSAULT SPOUSE/PARTNER,5D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,White,Male,50,False,506,160,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,White,Female,37,5D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24301,2026-04-09T06:00:22.868757
row-y6c7.f257_3nu6,488AD614-9A5B-4AB9-AE72-D3E9FDE02A2C,29584E82-207F-44F5-90F2-C1D7E9E2F59A,2026/03/30 09:32:00.000000000,260013589,0823,SIMPLE ASSAULT SPOUSE/PARTNER,5D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,White,Male,50,False,506,160,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,White,Female,34,5D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24302,2026-04-09T06:00:22.868757
row-xc5r~up82_vmjj,488AD614-9A5B-4AB9-AE72-D3E9FDE02A2C,BE691DE2-8914-4A6F-A8C0-08AD1B8E65B6,2026/03/30 09:32:00.000000000,260013589,0823,SIMPLE ASSAULT SPOUSE/PARTNER,5D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,White,Male,50,False,506,160,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,51,5D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24303,2026-04-09T06:00:22.868757
row-a2cw_2933_jq6n,3937FB03-523E-4C03-8B62-60C36BE865DE,5576742B-A3A3-4A21-ADE9-0F495224F2D7,2026/03/28 00:21:00.000000000,260013316,0812,ASSAULT & BATTERY - POLICE OFFICER,3D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,15,False,503,120,t,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,37,3D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24304,2026-04-09T06:00:22.868757
row-mvqv_57ht.7kat,C97717FE-9D05-4AB3-B6B1-9F53C5813D2C,6EDAA8DE-ADEF-4BBD-B1C1-A0ACA2A4116B,2026/03/11 15:47:00.000000000,260010782,2413,DISORDERLY CONDUCT,2D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,26,False,601,190,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Female,36,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24305,2026-04-09T06:00:22.868757
row-c9jy_8g4t-nrcv,C823F6E0-7AB9-400B-9F26-FE709B7D1510,D0B6E799-83D4-4E42-B2DB-5D61701C5C93,2026/03/21 03:32:00.000000000,260012254,2938,POL INFORMATION,2D,PSB,f,f,f,f,f,f,f,t,f,f,f,f,None,None,None,None,f,f,f,f,f,f,f,t,f,f,Black,Male,25,False,604,180,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,None,None,None,None,None,None,None,None,None,None,None,None,None,Asian,Male,34,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24306,2026-04-09T06:00:22.868757
row-648j-3sa2-ywfh,C2257BC2-56CF-48A4-A42B-425EC2E596FB,2883233D-0032-4C72-BD75-7F533DD4FF27,2026/03/11 20:01:00.000000000,260010828,0511,BURG FORCE-RES/NIGHT,3D,PSB,f,f,f,f,f,f,f,t,f,f,f,f,None,None,None,None,f,f,f,f,f,f,f,t,f,f,Black,Male,37,False,602,180,f,f,None,None,f,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,27,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24307,2026-04-09T06:00:22.868757
row-k6wy~hivs-w5rf,BA2CB573-2AE5-4E5A-9FBA-0B3A23C700FE,B6C462F4-E5C3-4B4E-9494-78C2EC96E255,2026/03/16 18:25:00.000000000,260011497,0822,SIMPLE ASSAULT - PO,2D,PSB,f,t,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,39,False,507,200,f,f,None,None,t,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,White,Male,33,2D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24308,2026-04-09T06:00:22.868757
row-7btm_9rde.w8ii,313CCEEC-9FF4-4459-A3B5-68230DE09944,9E92B952-CD1F-45CF-AEC1-DDAFA220B846,2026/03/19 20:01:00.000000000,260012061,2942,MENTAL TRANSPORT,2D,PSB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,White,Male,31,False,511,275,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,24,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24309,2026-04-09T06:00:22.868757
row-5tcn-irs4_apkz,313CCEEC-9FF4-4459-A3B5-68230DE09944,00AB4395-94F2-4C86-BDCF-C72D344491FB,2026/03/19 20:01:00.000000000,260012061,2942,MENTAL TRANSPORT,2D,PSB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,White,Male,31,False,511,275,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Female,28,2D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24310,2026-04-09T06:00:22.868757
