__id,reportguid,officerguid,event_date_time,cr_or_event,event_class,event_class_description,district_of_occurrence,bureau,reason_counteract,reason_claim_injury,reason_protective_instrument,reason_firearm_discharge,reason_canine,reason_firearm_accidental,reason_officer_assaulted,reason_pointing,reason_physical_efforts,reason_animal_involved,reason_animalinvolvedhumane,reason_animalinvolvedvicious,animal_type,animaltypeother,animal_force_used,animal_force_used_other,activity_arrest,activity_defend,activity_demo,activity_eep,activity_warrant,activity_transport,activity_stop,activity_investigative,activity_swat_operation,activity_sert_operation,subj_race,subj_gender,subj_age,subj_age_unknown,subj_height,subj_weight,subj_alcohol,subj_drugs,subj_drug_type,subj_drug_type_other,subj_possible_mental_illness,subject_injury_bruise_soreness,subject_injury_broken_bones,subject_injury_laceration,subject_injury_bite,subject_injury_gunshot,subject_injury_taser_mark,suspect_injury_unrelated_to_police,subject_injury_none,subject_treated_decon,subject_treated_firstaid,subject_treated_police_firstaid,subject_treated_ems_firstaid,subject_treated_hospital,subject_treated_refused,subject_treated_none,subj_feet,subj_hands_fists,subj_strike,subj_handgun_pointed,subj_handgun_discharged,subj_knife,subj_oc_aerosol_pointed,subj_oc_aerosol_discharged,subj_shotgun_rifle_pointed,subj_shotgun_rifle_discharged,subj_vehicle,subj_pepperball_pointed,subj_pepperball_discharged,ofc_race,ofc_gender,ofc_age,ofc_district_unit_of_assignment,ofc_assaulted,ofc_ambushed,ofc_injury_bruise_soreness,ofc_injury_broken_bones,ofc_injury_laceration_abrasion,ofc_injury_bite,ofc_injury_gunshot,ofc_injury_taser_mark,ofc_injury_none,ofc_treated_decon,ofc_treated_firstaid,ofc_treated_police_firstaid,ofc_treated_ems_firstaid,ofc_treated_hospital,ofc_treated_refused,ofc_treated_none,ofc_asp,ofc_canine,ofc_cew_pointed,ofc_cew_discharged,ofc_flashlight,ofc_feet,ofc_hands_fists,ofc_strike,ofc_control_technique,ofc_non_compliant_escort,ofc_handgun_pointed,ofc_handgun_discharged,ofc_knife,ofc_oc_aerosol_pointed,ofc_oc_aerosol_discharged,ofc_shotgun_rifle_pointed,ofc_shotgun_rifle_discharged,ofc_vehicle,ofc_pepperball_pointed,ofc_pepperball_discharged,ofc_cew_cartridge,ofc_cew_stun,ofc_cew_point_of_impact,ofc_cew_point_of_impact_2,ofc_cew_of_cartridges,_row_index,_loaded_at
row-3znd.xjqw-sv24,B26AF611-9F98-4C46-8754-51C175740536,A5736389-1C12-48C0-A384-FF636C6DF5DC,2026/03/10 21:20:00.000000000,260008830,0711,AUTO THEFT - PASSENGER VEHICLE,3D,ISB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,24,False,506,149,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,43,MCD,f,f,False,False,True,False,False,False,f,False,True,False,False,False,False,f,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24224,2026-04-07T06:29:49.409364
row-abw8~ickh~gcfg,CACBC4A2-1179-4435-AC00-D4EC668B7B79,821C6E3D-0AC0-41D5-8B1C-B4C80EE04091,2026/03/11 15:23:00.000000000,260010778,0822,SIMPLE ASSAULT - PO,3D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,26,False,502,180,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Asian,Male,28,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24225,2026-04-07T06:29:49.409364
row-nwnp.fka2~djha,A88DF27A-A7C1-4EF4-948C-3EF6D65983FF,98207193-0244-4566-881A-63F7F6A5E40C,2026/03/04 06:45:00.000000000,260009562,0414,AGG  ASSLT FIREARM OTHR DOMESTIC,3D,PSB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,17,False,603,160,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Female,42,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24226,2026-04-07T06:29:49.409364
row-73tv~wdkf_ymv9,F3FF8A45-10EC-4F14-9C32-9F6BC6C52319,13D404C5-9950-42F9-A15E-6C31E1FE1C80,2026/03/05 17:20:00.000000000,260009874,0431,AGG ASSLT OTHER WPN CITIZEN,3D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,39,False,604,175,t,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,White,Male,23,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24227,2026-04-07T06:29:49.409364
row-gfb8.65hj_e2rw,2C11DC00-DB9E-4C96-B675-1270F1D6C902,88CC800B-D4AB-4603-9E4B-778B75D1EEA7,2026/01/14 11:19:00.000000000,260002220,2938,POL INFORMATION,3D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,f,f,Other,Male,18,False,509,124,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,38,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24228,2026-04-07T06:29:49.409364
row-z3yc-i4cb.k8zx,2C11DC00-DB9E-4C96-B675-1270F1D6C902,D4E589E4-8094-4205-8F2A-4071AE7C1F26,2026/01/14 11:19:00.000000000,260002220,2938,POL INFORMATION,3D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,f,f,Other,Male,18,False,509,124,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,33,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24229,2026-04-07T06:29:49.409364
row-ruw6-p5m9_w94r,DEC0196E-5E3E-464D-A21C-1D1EC5871FAA,E581F237-B8C4-4D04-B83D-5CDCDDC0FC75,2026/03/28 15:38:00.000000000,260013375,2942,MENTAL TRANSPORT,3D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,White,Female,33,False,509,250,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Female,36,3D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24230,2026-04-07T06:29:49.409364
row-56ty_3b7j-j4k3,4CA5730A-02A7-4603-AE8E-DCA1774AD60D,355349F9-E604-4FFE-B40D-875AA20FE340,2026/03/05 14:56:00.000000000,260009844,2942,MENTAL TRANSPORT,3D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Hispanic,Female,33,False,508,250,f,f,None,None,t,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,White,Female,34,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24231,2026-04-07T06:29:49.409364
row-miym-i5eu~b4yi,CACBC4A2-1179-4435-AC00-D4EC668B7B79,2ECA1B70-4904-43CE-B029-669A39C19AA4,2026/03/11 15:23:00.000000000,260010778,0822,SIMPLE ASSAULT - PO,3D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,26,False,502,180,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,31,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24232,2026-04-07T06:29:49.409364
row-388w~6auw-6844,7041DFAF-1A81-47F1-A08D-0BAC406BEA84,AF2CC0AE-B73B-4D1D-85B7-34282E2B42D1,2026/03/03 18:52:00.000000000,260009535,0713,AUTO THEFT - OTHER VEHICLES,Out of County,PSB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Hispanic,Male,30,False,507,300,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,47,3D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24233,2026-04-07T06:29:49.409364
