__id,reportguid,officerguid,event_date_time,cr_or_event,event_class,event_class_description,district_of_occurrence,bureau,reason_counteract,reason_claim_injury,reason_protective_instrument,reason_firearm_discharge,reason_canine,reason_firearm_accidental,reason_officer_assaulted,reason_pointing,reason_physical_efforts,reason_animal_involved,reason_animalinvolvedhumane,reason_animalinvolvedvicious,animal_type,animaltypeother,animal_force_used,animal_force_used_other,activity_arrest,activity_defend,activity_demo,activity_eep,activity_warrant,activity_transport,activity_stop,activity_investigative,activity_swat_operation,activity_sert_operation,subj_race,subj_gender,subj_age,subj_age_unknown,subj_height,subj_weight,subj_alcohol,subj_drugs,subj_drug_type,subj_drug_type_other,subj_possible_mental_illness,subject_injury_bruise_soreness,subject_injury_broken_bones,subject_injury_laceration,subject_injury_bite,subject_injury_gunshot,subject_injury_taser_mark,suspect_injury_unrelated_to_police,subject_injury_none,subject_treated_decon,subject_treated_firstaid,subject_treated_police_firstaid,subject_treated_ems_firstaid,subject_treated_hospital,subject_treated_refused,subject_treated_none,subj_feet,subj_hands_fists,subj_strike,subj_handgun_pointed,subj_handgun_discharged,subj_knife,subj_oc_aerosol_pointed,subj_oc_aerosol_discharged,subj_shotgun_rifle_pointed,subj_shotgun_rifle_discharged,subj_vehicle,subj_pepperball_pointed,subj_pepperball_discharged,ofc_race,ofc_gender,ofc_age,ofc_district_unit_of_assignment,ofc_assaulted,ofc_ambushed,ofc_injury_bruise_soreness,ofc_injury_broken_bones,ofc_injury_laceration_abrasion,ofc_injury_bite,ofc_injury_gunshot,ofc_injury_taser_mark,ofc_injury_none,ofc_treated_decon,ofc_treated_firstaid,ofc_treated_police_firstaid,ofc_treated_ems_firstaid,ofc_treated_hospital,ofc_treated_refused,ofc_treated_none,ofc_asp,ofc_canine,ofc_cew_pointed,ofc_cew_discharged,ofc_flashlight,ofc_feet,ofc_hands_fists,ofc_strike,ofc_control_technique,ofc_non_compliant_escort,ofc_handgun_pointed,ofc_handgun_discharged,ofc_knife,ofc_oc_aerosol_pointed,ofc_oc_aerosol_discharged,ofc_shotgun_rifle_pointed,ofc_shotgun_rifle_discharged,ofc_vehicle,ofc_pepperball_pointed,ofc_pepperball_discharged,ofc_cew_cartridge,ofc_cew_stun,ofc_cew_point_of_impact,ofc_cew_point_of_impact_2,ofc_cew_of_cartridges,_row_index,_loaded_at
row-bnw5.x9eb.a4a8,D5A6BC82-C9E3-47D2-A9D8-75B4CF5489C0,B6448AB3-5396-4E32-9E56-1051227941DC,2026/03/21 09:30:00.000000000,260012270,2942,MENTAL TRANSPORT,5D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Female,16,False,503,110,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,White,Female,37,5D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24503,2026-05-01T07:21:53.665446
row-zh56_a24d_ccye,31BBF968-82F5-4CBB-BC8A-4D8EEF9DAABA,D10CC6B5-3507-448D-9870-C3541007B568,2026/04/21 20:35:00.000000000,260012981,0421,AGG ASSLT CUT/STAB CITIZEN,1D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,14,False,507,130,f,f,None,None,f,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,31,1D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24504,2026-05-01T07:21:53.665446
row-kv66.p5vk.4ssk,11B44D04-2AED-4481-8875-10DB48DD3B86,55B63C2C-F3DA-442B-B9A7-B10C103C11FA,2026/04/20 10:59:00.000000000,260016872,2942,MENTAL TRANSPORT,6D,PSB,f,f,f,f,f,f,t,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Male,18,False,510,300,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,White,Male,43,6D,t,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24505,2026-05-01T07:21:53.665446
row-mpbk.vc9k-dwj4,11B44D04-2AED-4481-8875-10DB48DD3B86,D9467493-436B-43F9-BDFF-41373748BE94,2026/04/20 10:59:00.000000000,260016872,2942,MENTAL TRANSPORT,6D,PSB,f,f,f,f,f,f,t,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Male,18,False,510,300,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,White,Female,44,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24506,2026-05-01T07:21:53.665446
row-5f9s~4v38~zjka,F63F2010-9F73-4656-94D3-8CFA6E724480,72E3DAFA-157C-4DFA-B031-AD0DCED10E30,2026/03/20 02:32:00.000000000,260012096,2737,TRESPASSING,6D,PSB,f,f,f,f,f,f,f,f,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Female,29,False,506,165,t,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,57,6D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24507,2026-05-01T07:21:53.665446
row-qpmt~nf5v-4hfd,11B44D04-2AED-4481-8875-10DB48DD3B86,4947DB46-1185-44AD-9C54-CFB5EE05E26C,2026/04/20 10:59:00.000000000,260016872,2942,MENTAL TRANSPORT,6D,PSB,f,f,f,f,f,f,t,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Male,18,False,510,300,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,Asian,Male,48,6D,f,f,True,False,False,False,False,False,f,False,False,False,False,False,False,t,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24508,2026-05-01T07:21:53.665446
row-7dj8_5mu5.gzqz,D5A6BC82-C9E3-47D2-A9D8-75B4CF5489C0,397605C0-FE3B-428A-AF19-BC58871E512E,2026/03/21 09:30:00.000000000,260012270,2942,MENTAL TRANSPORT,5D,PSB,f,f,f,f,f,f,t,f,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Female,16,False,503,110,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,None,None,None,None,None,None,None,None,None,None,None,None,None,Black,Male,44,5D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24509,2026-05-01T07:21:53.665446
row-45ue_wjje-iqvn,11B44D04-2AED-4481-8875-10DB48DD3B86,62EDFB35-3FD7-4223-9D94-7BD929F2EFA9,2026/04/20 10:59:00.000000000,260016872,2942,MENTAL TRANSPORT,6D,ISB,f,f,f,f,f,f,t,t,t,f,f,f,None,None,None,None,f,f,f,t,f,f,f,f,f,f,Black,Male,18,False,510,300,f,f,None,None,t,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,White,Male,36,SVID,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24510,2026-05-01T07:21:53.665446
row-7hp8.3542-ej66,31BBF968-82F5-4CBB-BC8A-4D8EEF9DAABA,5006CAC1-4423-456F-8A40-826DDCA8E3F8,2026/04/21 20:35:00.000000000,260012981,0421,AGG ASSLT CUT/STAB CITIZEN,1D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,14,False,507,130,f,f,None,None,f,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown,Male,36,1D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24511,2026-05-01T07:21:53.665446
row-2nc6.vrid.3hud,31BBF968-82F5-4CBB-BC8A-4D8EEF9DAABA,300B7FDC-EB3E-406D-A582-ED610002694E,2026/04/21 20:35:00.000000000,260012981,0421,AGG ASSLT CUT/STAB CITIZEN,1D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,t,f,f,f,f,f,f,f,f,f,Black,Male,14,False,507,130,f,f,None,None,f,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,39,1D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24512,2026-05-01T07:21:53.665446
